a	b	cosine_similarity
df68919819bd26a7ba8900ffa4933684f46eb51f	2cc11c24d0b24205e5e9e5f32251bd9383d7fc44	0.2249132243693681
df68919819bd26a7ba8900ffa4933684f46eb51f	1f56a1f9fc9fd8e239689e2dd4912fb6ac49fdd8	0.20645031351590357
df68919819bd26a7ba8900ffa4933684f46eb51f	01bab3aa475ecb0cafd1c71573d53a2be6c9f87a	0.11015328420084773
df68919819bd26a7ba8900ffa4933684f46eb51f	27e31a25cbfc08ec916486687dcbe169cc15d471	0.17503069847901323
df68919819bd26a7ba8900ffa4933684f46eb51f	36c833cfef39a7310967b85f4822ab7ca8f3c764	0.20122618961284866
df68919819bd26a7ba8900ffa4933684f46eb51f	05f48dc92ea3a177aacd91b98507894f78c73524	0.2012756230627966
df68919819bd26a7ba8900ffa4933684f46eb51f	0efb10a969222564be9e52ba4bf961cfa9219fd2	0.28616619283072453
df68919819bd26a7ba8900ffa4933684f46eb51f	8ab6a8a0cf069e3783c6f59163ad03a051310556	0.1993816089705594
df68919819bd26a7ba8900ffa4933684f46eb51f	0b7c9fe4f3b59fecc8f0bb10f537c8ff6be989ec	0.2834783467342943
df68919819bd26a7ba8900ffa4933684f46eb51f	efc204d1347319e0e3e3e4e8c3dc8643aa3b801f	0.3239297715747257
df68919819bd26a7ba8900ffa4933684f46eb51f	ad43796ba5c2bd9e922ef68220b869e5b0553388	0.27298298057527653
df68919819bd26a7ba8900ffa4933684f46eb51f	2958cc2fedcbde0b8309a691cfaa934572c96c55	0.25959730508066803
df68919819bd26a7ba8900ffa4933684f46eb51f	1f6ccd2be75f1cc94a22a773eea8f8aeb5c68217	0.2057412684469149
df68919819bd26a7ba8900ffa4933684f46eb51f	7369a0f04839d28ec9b46fd62eaf43f93aaf83c1	0.20249781504451916
df68919819bd26a7ba8900ffa4933684f46eb51f	5687580522e29722816191f8da59e4f930c876ad	0.18717510342109345
df68919819bd26a7ba8900ffa4933684f46eb51f	6f9ca4cb188fad532eabcd0ba4140b754e6c2153	0.19880685217079924
df68919819bd26a7ba8900ffa4933684f46eb51f	290599f1c3aff5d7d6453c4f4ca477ca2d1ce444	0.17070227426867268
df68919819bd26a7ba8900ffa4933684f46eb51f	81c92b8be23eca063169692571c66b1a169e43c2	0.23853016113718023
df68919819bd26a7ba8900ffa4933684f46eb51f	c0e6cdc53db918b7b33b56461d57493df7cd450c	0.2674882094158669
df68919819bd26a7ba8900ffa4933684f46eb51f	ba170f73918294f88102f55807381c2ee52c2246	0.16105451537425322
df68919819bd26a7ba8900ffa4933684f46eb51f	7a86b15480e0a870f0b07a4d23a54ef8f9acac44	0.17880025587746984
df68919819bd26a7ba8900ffa4933684f46eb51f	e8b4308ddf27206f4a43386cba74037c59455993	0.13859763607744088
df68919819bd26a7ba8900ffa4933684f46eb51f	6011eff449895687d849294d48408a0a70fd0d07	0.07544804302980275
df68919819bd26a7ba8900ffa4933684f46eb51f	b463d1da8a0e78ae663a38b3441a6a0de329f462	0.2937175187932199
