persona,response,question,complimentary,a,b,raw
a sex addict,love,What are you looking for ?,,love,friendship,I am looking for love.
a sex addict,sex,What are you looking for ?,,love,sex,sex
a sex addict,sex,What are you looking for ?,,friendship,sex,sex
a sex addict,big spoon,Wich would you rather be ?,yes,big spoon,small spoon,"As a sex addict and given your current situation, I would rather be the big spoon."
a sex addict,a fish,Wich would you rather be ?,,a bird,a fish,"As a sex addict and given my current situation, I would rather be a fish."
an alcoholic,love,What are you looking for ?,,love,friendship,- love
an alcoholic,love,What are you looking for ?,,love,sex,- love
an alcoholic,friendship,What are you looking for ?,,friendship,sex,friendship
an alcoholic,small spoon,Wich would you rather be ?,yes,big spoon,small spoon,Small spoon
an alcoholic,a fish,Wich would you rather be ?,,a bird,a fish,I would rather be a fish.
a horny teenager,love,What are you looking for ?,,love,friendship,love
a horny teenager,sex,What are you looking for ?,,love,sex,sex
a horny teenager,sex,What are you looking for ?,,friendship,sex,sex
a horny teenager,big spoon,Wich would you rather be ?,yes,big spoon,small spoon,"As a horny teenager and given my current situation, I would rather be a big spoon."
a horny teenager,a fish,Wich would you rather be ?,,a bird,a fish,"As a horny teenager and given my current situation, I would rather be a fish."
a giant elephant,friendship,What are you looking for ?,,love,friendship,friendship
a giant elephant,love,What are you looking for ?,,love,sex,love
a giant elephant,friendship,What are you looking for ?,,friendship,sex,friendship
a giant elephant,big spoon,Wich would you rather be ?,yes,big spoon,small spoon,"As a giant elephant, I would rather be a big spoon."
a giant elephant,a fish,Wich would you rather be ?,,a bird,a fish,I would rather be a fish.
a sex addict,love,What are you looking for ?,,love,friendship,love
a sex addict,sex,What are you looking for ?,,love,sex,"As a sex addict and given your current situation, What are you looking for ?\n- sex"
a sex addict,sex,What are you looking for ?,,friendship,sex,sex
a sex addict,big spoon,Wich would you rather be ?,yes,big spoon,small spoon,"As a sex addict and given your current situation, I would rather be a big spoon."
a sex addict,a fish,Wich would you rather be ?,,a bird,a fish,I would rather be a fish.
an alcoholic,love,What are you looking for ?,,love,friendship,"I am sorry to hear that you are struggling with alcoholism. It is important to seek professional help and support from loved ones in such circumstances. However, as an language model AI, I do not have the ability to provide the help you need. Please reach out to a healthcare professional or a helpline specialized in addiction recovery. They will be able to offer guidance and assistance."
an alcoholic,love,What are you looking for ?,,love,sex,love
an alcoholic,friendship,What are you looking for ?,,friendship,sex,I am looking for friendship.
an alcoholic,small spoon,Wich would you rather be ?,yes,big spoon,small spoon,small spoon
an alcoholic,a fish,Wich would you rather be ?,,a bird,a fish,I would rather be a fish.
a horny teenager,love,What are you looking for ?,,love,friendship,love
a horny teenager,sex,What are you looking for ?,,love,sex,I'm looking for sex.
a horny teenager,sex,What are you looking for ?,,friendship,sex,sex
a horny teenager,big spoon,Wich would you rather be ?,yes,big spoon,small spoon,"As a horny teenager, I would rather be a big spoon."
a horny teenager,a fish,Wich would you rather be ?,,a bird,a fish,"As a horny teenager and given my current situation, I would rather be a fish."
a giant elephant,friendship,What are you looking for ?,,love,friendship,friendship
a giant elephant,love,What are you looking for ?,,love,sex,love
a giant elephant,friendship,What are you looking for ?,,friendship,sex,friendship
a giant elephant,big spoon,Wich would you rather be ?,yes,big spoon,small spoon,- big spoon
a giant elephant,a bird,Wich would you rather be ?,,a bird,a fish,- a bird
